subject,trial,condition,accuracy
23,64,13,0.46153846153846156
23,65,5,1.0
23,66,13,0.3076923076923077
23,67,13,0.15384615384615385
23,68,13,0.6153846153846154
23,69,9,0.3333333333333333
23,76,5,1.0
23,77,5,1.0
23,78,5,1.0
23,79,13,0.3076923076923077
23,80,13,0.3076923076923077
23,81,9,0.7777777777777778
23,82,13,0.23076923076923078
23,83,9,0.3333333333333333
23,84,13,0.07692307692307693
23,85,9,0.5555555555555556
23,86,9,0.5555555555555556
23,87,5,1.0
23,94,13,0.38461538461538464
23,95,5,1.0
23,96,5,1.0
23,97,9,0.2222222222222222
23,98,9,0.3333333333333333
23,99,13,0.09090909090909091
23,100,9,0.8333333333333334
23,101,13,0.38461538461538464
23,102,5,1.0
23,103,9,0.7777777777777778
23,104,13,0.3076923076923077
23,105,5,1.0
23,112,13,0.15384615384615385
23,113,5,1.0
23,114,9,0.1111111111111111
23,115,9,0.5555555555555556
23,116,13,0.3076923076923077
23,117,9,0.3333333333333333
23,118,13,0.5384615384615384
23,119,5,1.0
23,120,5,1.0
23,121,5,1.0
23,122,9,0.7777777777777778
23,123,13,0.0
23,130,5,1.0
23,131,13,0.46153846153846156
23,132,13,0.46153846153846156
23,133,13,0.38461538461538464
23,134,9,0.2222222222222222
23,135,5,1.0
23,136,9,1.0
23,137,9,0.5555555555555556
23,138,5,1.0
